audio_id,baseline_boundaries,embedding_boundaries,common_boundaries,jaccard_similarity
dHTgffkpeYo,46,202,11,0.046413502109704644
oJNvxYEcVAY,81,281,18,0.05232558139534884
iqBh7G4uDR8,66,287,17,0.050595238095238096
kFQUDCgMjRc,8,235,1,0.004132231404958678
Z_LhPMhkEdw,22,94,5,0.04504504504504504
naed4C4hfAg,12,38,5,0.1111111111111111
Whtt2H5_isM,44,199,13,0.05652173913043478
PgtedwKGhXs,27,93,4,0.034482758620689655
4KiO8GRgwDk,82,305,17,0.04594594594594595
gp4U5aH_T6A,94,419,30,0.062111801242236024
YJF01_ztxwY,40,204,18,0.07964601769911504
uykM3NhJbso,72,249,14,0.04560260586319218
CwyOUS8TSl0,39,171,8,0.039603960396039604
oCkkjnpS2f8,29,148,10,0.059880239520958084
DKyzcbNr8WE,19,85,3,0.0297029702970297
xewD1apJNhw,1,132,1,0.007575757575757576
2a7CDKqWcZ0,32,230,9,0.03557312252964427
BIk1zUy8ehU,86,291,14,0.03856749311294766
d2bYwYxqJCM,53,235,11,0.039711191335740074
uX5t8EivCaM,31,119,6,0.041666666666666664
G433fa01oMU,78,373,12,0.02733485193621868
sY8aFSY2zv4,13,287,2,0.006711409395973154
nvBEXXnNaNQ,30,172,3,0.01507537688442211
WxfA1OSev4c,45,219,8,0.03125
KZnGSVwIpeU,31,143,6,0.03571428571428571
ZecQ64l-gKM,61,390,16,0.0367816091954023
VHg9sfOzBbY,27,269,4,0.0136986301369863
oYQh1ZNkC70,31,152,9,0.05172413793103448
R5rNoV1Qy_Q,48,206,8,0.032520325203252036
dSVLjAdo8UA,53,266,15,0.049342105263157895
P6prRXkI5HM,49,212,17,0.06967213114754098
bqeuFiAUU4o,117,495,29,0.04974271012006861
LDTe8uFqbws,34,157,8,0.04371584699453552
a3Wpy6gE4So,39,281,14,0.0457516339869281
0ZO28NtkwwQ,55,229,13,0.04797047970479705
SGSOCuByo24,39,111,10,0.07142857142857142
7Grseeycor4,51,201,7,0.02857142857142857
Tj6NOfdfa4o,20,68,7,0.08641975308641975
piHkfmeU7Wo,24,105,8,0.06611570247933884
nWTvXbQHwWs,61,246,15,0.05136986301369863
hi9Rf0oLdHk,65,345,16,0.04060913705583756
KllCrlfLuzs,26,148,5,0.029585798816568046
