index,episode_number,radio_date,title
0,1,1995-11-17,New Beginnings
1,2,1995-11-24,Small Scale Sin
2,3,1995-12-01,Poultry Slam 1995
3,4,1995-12-08,Vacations
4,5,1995-12-15,Anger and Forgiveness
5,6,1995-12-22,Christmas
6,7,1995-12-29,Quitting
7,8,1996-01-03,New Year
8,9,1996-01-10,Julia Sweeney
9,10,1996-01-17,Double Lives
10,11,1996-01-24,Enemies
11,12,1996-01-31,Animals
12,13,1996-02-07,Love
13,14,1996-02-21,Accidental Documentaries
14,15,1996-02-28,Dawn
15,16,1996-03-14,Economy
16,17,1996-03-21,Name Change / No Theme
17,18,1996-03-28,Liars
18,19,1996-04-12,Rich Guys
19,20,1996-04-19,From A Distance
20,21,1996-04-26,Factions
21,22,1996-05-03,Adult Children
22,23,1996-05-10,Drama Bug
23,24,1996-05-24,Teenaged Girls
24,25,1996-06-07,Basketball
25,26,1996-06-14,Father's Day '96
26,27,1996-06-21,The Cruelty of Children
27,28,1996-07-12,Detectives
28,29,1996-07-19,Bob Dole
29,30,1996-07-26,Obsession
30,31,1996-08-09,When You Talk About Music
31,32,1996-08-16,Republican Convention
32,33,1996-08-23,A Night at the Wiener Circle
33,34,1996-08-30,Democratic Convention
34,35,1996-09-06,Fall Clearance Sale
35,36,1996-09-20,Letters
36,37,1996-09-27,The Job That Takes Over Your Life
37,38,1996-10-11,Simulated Worlds
38,39,1996-10-25,Halloween
39,40,1996-11-01,Lessons
40,41,1996-11-08,Politics
41,42,1996-11-15,Get Over It!
42,43,1996-11-22,Faustian Bargains
43,44,1996-11-29,Poultry Slam 1996
44,45,1996-12-06,Media Fringe
45,46,1996-12-13,Sissies
46,47,1996-12-20,Christmas and Commerce
47,48,1997-01-03,Justice
48,49,1997-01-10,Animals
49,50,1997-01-17,Shoulda Been Dead
50,51,1997-01-24,"Animals Die, People Ponder"
51,52,1997-01-31,Edge of Sanity
52,53,1997-02-07,Valentine’s Day ‘97
53,54,1997-02-21,Sinatra
54,55,1997-02-28,Three Women and the Sex Industry
55,56,1997-03-07,Name Change
56,57,1997-03-14,Delivery
57,58,1997-04-04,Small Towns
58,59,1997-04-11,Fire
59,60,1997-04-18,Business of Death
60,61,1997-04-25,Fiasco!
61,62,1997-05-02,Something for Nothing
62,63,1997-05-09,One Thing
63,64,1997-05-23,Summer
64,65,1997-05-30,Who's Canadian?
65,66,1997-06-06,Tales from the Net
66,67,1997-06-27,"Your Dream, My Nightmare"
67,68,1997-07-04,Lincoln's Second Inaugural
68,69,1997-07-18,Dream House
69,70,1997-07-25,Other People's Mail
70,71,1997-08-01,Defying Sickness
71,72,1997-08-08,Trek
72,73,1997-08-22,Blame It on Art
73,74,1997-08-29,Conventions
74,75,1997-09-12,Kindness of Strangers
75,76,1997-09-19,Mob
76,77,1997-09-26,Pray
77,78,1997-10-03,How Bad Is Bad?
78,79,1997-10-10,Stuck in the Wrong Decade
79,80,1997-10-17,Running After Antelope
80,81,1997-10-24,Guns
81,82,1997-10-31,Haunted
82,83,1997-11-14,One of Us
83,84,1997-11-21,Harold
84,85,1997-12-05,Poultry Slam 1997
85,86,1997-12-12,How to Take Money from Strangers
86,87,1997-12-19,A Very Special Sedaris Christmas
87,88,1998-01-02,Numbers
88,89,1998-01-09,Sibling Rivalry
89,90,1998-01-16,Telephone
90,91,1998-01-30,Escape the Box
91,92,1998-02-06,Leave the Mask On
92,93,1998-02-13,Valentine’s Day ’98 
93,94,1998-02-27,How To
94,95,1998-03-06,Monogamy
95,96,1998-03-13,Pinned by History
96,97,1998-03-20,Death to Wacky
97,98,1998-03-27,Throwing the First Punch
98,99,1998-04-10,"I Enjoy Being A Girl, Sort Of"
99,100,1998-04-24,Radio
100,101,1998-05-01,Niagara
101,102,1998-05-22,Road Trip!
102,103,1998-05-29,Scenes from A Transplant
103,104,1998-06-05,Music Lessons
104,105,1998-06-12,Take A Negro Home
105,106,1998-06-19,Father’s Day ‘98
106,107,1998-07-03,Trail of Tears
107,108,1998-08-07,Truth and Lies at Age Ten
108,109,1998-08-28,Notes on Camp
109,110,1998-09-04,Mapping
110,111,1998-09-11,Adventures in the Simple Life
111,112,1998-10-02,Ladies and Germs
112,113,1998-10-16,Windfall
113,114,1998-10-23,Last Words
114,115,1998-11-13,First Day
115,116,1998-11-27,Poultry Slam 1998
116,117,1998-12-11,You Gonna Eat That?
117,118,1998-12-18,What You Lookin’ At?
118,119,1999-01-08,Lockup
119,120,1999-01-22,Be Careful Who You Pretend to Be
