,type,podcaster,title,pub_date,abstract,url
0,liberal,Pod Save America,Republicans' Work Till You Die Agenda,"Mar 15, 2024","Donald Trump tries to walk back his comments on cutting Medicare and Social Security while Joe Biden goes on offense during a campaign swing in Wisconsin and Michigan. Kamala Harris becomes the highest ranking government official to visit an abortion clinic and RFK Jr. praises Aaron Rodgers as a ""critical thinker"" after he's reported to be a Sandy Hook truther. Later, EPA Administrator Michael Regan stops by the studio to talk to Tommy about clean energy and environmental justice.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/a53b7b1e-da35-44c4-a346-6acf9c2962c3/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=a53b7b1e-da35-44c4-a346-6acf9c2962c3&feed=dxZsm5kX
1,liberal,Pod Save America,Trump's TikTok Dance,"Mar 14, 2024","Jon Favreau and guest host Jane Coaston discuss why Robert Hur's Capitol Hill testimony infuriated both Republicans and Democrats, the potential TikTok ban that Donald Trump no longer supports, RFK Jr. reportedly considering Aaron Rodgers as his running mate, and whether Republican politicians are too online to win this election.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/5df2aedb-727b-41af-b99d-ab9838c7d5e5/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=5df2aedb-727b-41af-b99d-ab9838c7d5e5&feed=dxZsm5kX
2,liberal,Pod Save America,Biden’s in His Jacked-Up Joe Era,"Mar 12, 2024","President Biden’s re-election effort kicks into high gear, including a 30 million dollar ad buy and a run of campaign stops in battleground states. Meanwhile, Donald Trump launches his campaign by mocking Joe Biden’s stutter, hosting a concert for Viktor Orban, and floating cuts to Medicare and Social Security. Alabama Senator Katie Britt and Republicans are still dealing with the fallout from what may have been the worst-ever State of the Union response. And later, producer Elijah Cone joins the pod for a round of Take Appreciator.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/cbdbaa8d-f6ff-4129-912f-24139326f4aa/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=cbdbaa8d-f6ff-4129-912f-24139326f4aa&feed=dxZsm5kX
3,liberal,Pod Save America,Biden's Fiery State of the Union,"Mar 8, 2024","Jon and Dan break down the highlights of what might be the biggest speech of Joe Biden's re-election campaign so far, from his hits on Donald Trump to his defense of reproductive rights and tax fairness for working families. Then, White House Press Secretary Karine Jean-Pierre stops by to talk about the new policy initiatives Biden will be pushing in the months ahead.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/223673ae-e301-47ba-b1ac-2c1c2b00c71d/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=223673ae-e301-47ba-b1ac-2c1c2b00c71d&feed=dxZsm5kX
4,liberal,Pod Save America,The Biden-Trump Rematch Begins,"Mar 6, 2024","Nikki Haley suspends her campaign and doesn’t endorse Trump. Adam Schiff finishes first in California’s primary, Colin Allred will face Ted Cruz in Texas and Ruben Gallego goes against Kari Lake in Arizona as Kristen Sinema announces she will not run for reelection. North Carolina Republicans nominate Holocaust denier Mark Robinson for Governor. And Joe Biden prepares for his State of the Union speech.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/1a02523d-2a33-4b4d-b0ee-f4b15a933212/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=1a02523d-2a33-4b4d-b0ee-f4b15a933212&feed=dxZsm5kX
5,liberal,Pod Save America,Supreme Court Refuses to Exonerate Trump for Jan. 6th,"Mar 5, 2024","The Supreme Court issues a unanimous decision that Donald Trump cannot be kicked off the ballot by the state of Colorado. Nikki Haley wins the DC primary and won’t commit to endorsing Trump. Joe Biden gets another batch of bad polls and gives a long interview about his thinking on the presidential race. California gears up for a big Senate primary as part of the Super Tuesday contests. And later, Congressman Ro Khanna talks to Tommy about Gaza, the Democratic Party, and 2024.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/21085342-7d69-4bec-83b0-173ace4d78d5/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=21085342-7d69-4bec-83b0-173ace4d78d5&feed=dxZsm5kX
6,liberal,Pod Save America,Did the Supreme Court Just Save Trump?,"Mar 1, 2024","Donald Trump and President Biden hold dueling events at the Texas border as the issue of immigration becomes a top concern for voters. Mitch McConnell says he’s stepping down from Senate leadership after years of enabling Trump. House Republicans' sham impeachment investigation blows up in their faces. RFK Jr. gets a step closer to being on the ballot in Arizona and Georgia. And later, Strict Scrutiny’s Leah Litman stops by to talk about the Supreme Court’s latest gift to Donald Trump in the presidential immunity case.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/d1bb158c-236c-4cb4-a8cc-642eb0764263/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=d1bb158c-236c-4cb4-a8cc-642eb0764263&feed=dxZsm5kX
7,liberal,Pod Save America,Pete Buttigieg on the Michigan Primary and Whether You Should Fly on a 737 Max (feat. Mehdi Hasan),"Feb 28, 2024","Jon Favreau and Mehdi Hasan break down Biden and Trump’s big victories in the Michigan primary, whether the President can get a ceasefire deal, and Biden's interview with Seth Meyers. Then, Secretary of Transportation Pete Buttigieg stops by to talk about safety issues at Boeing, the GOP's attack on IVF, and why it’s so hard to get the _Frozen_ soundtrack out of your head.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/603feca5-612c-40ee-8fd3-d4d6d4a8d82c/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=603feca5-612c-40ee-8fd3-d4d6d4a8d82c&feed=dxZsm5kX
8,liberal,Pod Save America,Will Trump Win Back Haley Voters?,"Feb 27, 2024","Nikki Haley loses the South Carolina primary by 20 points but vows to stay in the race. Donald Trump starts to make a play for her voters—and pivots to the general election with some great reminders of why he lost the last one. Nazis get a warm welcome at CPAC, and attendees throw their support behind VP hopefuls Kristi Noem and Vivek Ramaswamy. And later, Lovett talks with MSNBC’s Andrew Weissmann and Strict Scrutiny’s Melissa Murray about all the latest Trump legal news and their new book, The Trump Indictments.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/05b1980b-830c-484e-91da-9d5c078f142e/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=05b1980b-830c-484e-91da-9d5c078f142e&feed=dxZsm5kX
9,liberal,Pod Save America,"Trump's 2nd Term: Military in the Streets, Mike Johnson in the Sheets","Feb 23, 2024","Trump and his allies make it clear that a second term would be much more extreme than the first, from Christian nationalists running the White House to military raids and internment camps. The Alabama Supreme Court's ruling that stopped IVF in the state could be a sign of things to come. Nikki Haley says she plans to stay in the race no matter what happens in Saturday’s South Carolina primary and Joe Biden provides student debt relief to another 150,000 Americans. Finally, Wisconsin Democratic Party Chair Ben Wikler joins to talk about the new legislative maps that have finally ended one of the worst gerrymanders in the country.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/382c512e-a893-4c1f-b237-162d14912e45/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=382c512e-a893-4c1f-b237-162d14912e45&feed=dxZsm5kX
