filename,algo2_topics,algo3_topics,algo2_avg_duration,algo3_avg_duration,algo2_avg_sentences,algo3_avg_sentences,duration
audio_001_16k_mono_clean_norm_trim_chunk_001_cleaned.json,1,1,15.5,15.5,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_002_cleaned.json,1,1,24.84,24.84,5.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_003_cleaned.json,1,1,24.72,24.72,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_004_cleaned.json,1,1,23.8,23.8,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_005_cleaned.json,1,1,24.76,24.76,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_006_cleaned.json,1,1,24.92,24.92,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_007_cleaned.json,1,1,24.58,24.58,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_008_cleaned.json,1,1,24.9,24.9,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_009_cleaned.json,1,2,24.98,12.28,10.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_010_cleaned.json,1,2,24.5,11.98,6.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_011_cleaned.json,1,1,24.88,24.88,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_012_cleaned.json,1,1,24.74,24.74,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_013_cleaned.json,1,2,24.98,11.620000000000001,7.0,3.5,0
audio_001_16k_mono_clean_norm_trim_chunk_014_cleaned.json,1,1,24.62,24.62,6.0,6.0,0
audio_001_16k_mono_clean_norm_trim_chunk_015_cleaned.json,1,1,24.98,24.98,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_016_cleaned.json,1,2,24.88,11.959999999999999,5.0,2.5,0
audio_001_16k_mono_clean_norm_trim_chunk_017_cleaned.json,1,1,24.72,24.72,9.0,9.0,0
audio_001_16k_mono_clean_norm_trim_chunk_018_cleaned.json,1,1,24.64,24.64,5.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_019_cleaned.json,1,1,24.98,24.98,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_020_cleaned.json,1,1,24.06,24.06,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_021_cleaned.json,1,1,24.8,24.8,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_022_cleaned.json,1,1,24.98,24.98,5.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_023_cleaned.json,1,1,24.88,24.88,6.0,6.0,0
audio_001_16k_mono_clean_norm_trim_chunk_024_cleaned.json,1,1,24.04,24.04,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_025_cleaned.json,1,1,24.6,24.6,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_026_cleaned.json,1,2,24.54,12.149999999999999,8.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_027_cleaned.json,1,1,24.98,24.98,7.0,7.0,0
audio_001_16k_mono_clean_norm_trim_chunk_028_cleaned.json,1,1,24.98,24.98,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_029_cleaned.json,1,1,24.98,24.98,5.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_030_cleaned.json,1,1,24.98,24.98,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_031_cleaned.json,1,1,24.98,24.98,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_032_cleaned.json,1,1,24.84,24.84,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_033_cleaned.json,1,1,24.88,24.88,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_034_cleaned.json,1,1,24.86,24.86,6.0,6.0,0
audio_001_16k_mono_clean_norm_trim_chunk_035_cleaned.json,1,1,24.98,24.98,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_036_cleaned.json,1,1,24.98,24.98,5.0,5.0,0
